SituationTitle,SituationID,Genre,Character,CharacterID,Entity,EntityID,Technology,Verb
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,NA,NA,NA,NA,Holograms,Mapping
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,Han Solo,2157,NA,NA,NA,Informed
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Leia Skywalker Organa Solo,2159,NA,NA,NA,Discussing
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,C-3PO,2164,NA,NA,NA,Learning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,C-3PO,2164,NA,NA,NA,Informed
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,Han Solo,2157,NA,NA,NA,Planning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Han Solo,2157,NA,NA,NA,Learning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,C-3PO,2164,NA,NA,NA,Discussing
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,C-3PO,2164,NA,NA,NA,Planning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,NA,NA,NA,NA,Holograms,Visualising
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Han Solo,2157,NA,NA,NA,Discussing
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,Leia Skywalker Organa Solo,2159,NA,NA,NA,Learning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Leia Skywalker Organa Solo,2159,NA,NA,NA,Informed
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,NA,NA,NA,NA,Holograms,Mapping
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,NA,NA,NA,NA,Holograms,Informing
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,Leia Skywalker Organa Solo,2159,NA,NA,NA,Discussing
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Leia Skywalker Organa Solo,2159,NA,NA,NA,Planning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,C-3PO,2164,NA,NA,NA,Informed
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,Han Solo,2157,NA,NA,NA,Learning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Han Solo,2157,NA,NA,NA,Informed
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,C-3PO,2164,NA,NA,NA,Planning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,C-3PO,2164,NA,NA,NA,Learning
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Narrative,Han Solo,2157,NA,NA,NA,Discussing
Star Wars: Episode VII - The Force Awakens (Holograms for planning),3269,Movie,Han Solo,2157,NA,NA,NA,Planning
