Term,Type,Definition
3D scans,Technology,"3D images or models produced by surface scanning such as photogrammetry, LiDAR, 3D scanning, etc. Does not usually include holograms unless the surface scan that produced the hologram is presented as particularly important in the game."
AI,Technology,"Artificial intelligence systems that can perform a broad range of intellectual and cognitive tasks that humans can. A system that can only perform one task, such as facial recognition, video recommendations, conversations with humans, or playing a game, is not general-purpose AI, but is likely to use machine learning."
Augmented reality,Technology,"Digital images overlay or appear to be integrated into a physical environment. Unlike holograms, glasses, implants or screens are usually required to view AR.    "
Biometrics,Technology,"Technologies used to identify an individual. Can include retina scans, gait recognition, DNA phenotyping, fingerprint scans.  Facial recognition is not included here but tagged separately."
Body scans,Technology,"Any imaging technology that shows parts of the body that are usually hidden, for instance brain imaging, fMRI, ultrasound, x-ray, or body scans in airport security that show objects under clothing. Includes cameras probes that enter the body."
Camera,Technology,"Single-purpose, portable camera technologies for creating a visual representation, e.g., camcorders, SLR cameras, cinema cameras. Does not include CCTV, satellites or cameras that are part of other technologies, such as webcams and camera phones, and does not include cameras that produce non-visual information such as motion tracking."
Cameraphone,Technology,Cameras integrated into phones that are easily carried on the person and often include computational capabilities.
Deepfake,Technology,"Technologies that use machine learning to generate videos that strongly resemble a specific human being. For our purposes, we include for instance art, satire, spoofs, and porn, but not professional uses of synthetic or virtual actors in Hollywood movies."
Drones,Technology,Remote controlled or autonomous aerial vehicle with a camera. Does not carry a human operator.
Emotion recognition,Technology,Software that analyses facial expressions to infer a person's emotions and inner states of mind.
Facial recognition,Technology,"Automated identification of identity based on a face. This could mean identifying a face as belonging to a specific individual, or to a gender, race or other category."
Filtering,Technology,"Applying filters to an image to enhance or remove certain aspects, e.g., Instagram filters, beautifying filters, selfie lenses."
Hologram,Technology,"A 3D projection of archived material or real-time events. It usually features humans, nonhumans or terrain and can usually be seen without special glasses, screens or implants. "
Image generation,Technology,Synthetic images generated with the use of technologies such as GANs and other neural networks. Does not include animation in general.
Interactive panoramas,Technology,360 images of the real world that are stitched together to allow movement between photographed spots. Includes various street view services.
Machine learning,Technology,"The capacity of a computer to learn from experience, i.e., to modify its processing based on newly acquired information. Includes neural networks and machine learning datasets."
Microscope/Telescope,Technology,Any kind of technology that allows us to see objects that are too small or too far away to be clearly viewed with the naked human eye. Can include rifle scopes if the zoom is quite strong.
Motion tracking,Technology,Technologies that register movements. Does not include GPS locations and other remote tracking.
