SituationID,Situation,SituationDescription,SituationQuotes
1660,"Data-Masks (Series) (reverse engineering facial recognition)","The artist is reverse engineering facial recognition by deconstructing images of faces and then mutating the images until they where again detected by facial detection tools as faces. The artist chose a selection of mutations and made 3D prints of them.
""Data-masks can be understood as visualizations of how machine learning algorithms generalize faces into abstract feature sets""
Source: http://www.sterlingcrispin.com/Sterling_Crispin_Data-masks_MS_Thesis.pdf",NA
1903,"FACELESS (making a CCTV film)","The artist performs (herself as the character ""Ma Nu"") in front of security cameras in London and then goes through a bureaucratic process of collecting the films as it is her right according to the UK Data Protection act and EU directives. From the material the artist compiles a film and creates manifesto how to create films using CCTV camera footage. Among other things all other actors need to be anonymised, hence, they remain facesless. ""Ma Nu"" is also first faceless, but her face gets revealed. ",NA
3092,"Gruppebilde Bergen 2020 (assembling a dataset to generate portraits)","The artist is assembling a dataset of citizens living in Bergen. The dataset is used to generate new faces both using the whole dataset or partial datasets classified according to age or neighbourhood (the photographed individuals classify themselves into categories by answering in what part of the city they live and what their age is). The used machine learning system would learn how photographs look like and generate similar ones. Out of several iterations of generated portraits the artist curates images for a group image printed on a big tapestry representing the citizens of Bergen,",NA
2247,"Sharing locations: YONGSAN & HUMPHREY GARRISON (obfuscating satellite images)","Images in the artwork exposes different tactics mapping platforms (corporations) use to obfuscate and camouflage to hide important infrastructure like military presence at army bases. On the other hand different data layers (e.g. Strava maps) reveal that something is hidden.",NA
1691,"Sustaining Gazes (measuring the gaze)","When the user interacts with the work the artwork measures where the user gazes. A heat map visualizes were the user looks, however, the patters in the visualization it self attracts and influences the user to gaze where s(he) already has been looking.",NA
3148,"The Human Detector (avoiding detection)","The user is challenged to push a button without being detected by the machine as a human. If the user is fair skinned it becomes a challenge to do this. Creative means like disguising one self as a painting can lead to success and the user can see a rerun of the video. However, facial recognition algorithm does not recognize well persons with darker skins like the artist who created the game. Hence the technology presents a gain for those who are often discriminated by the same technologies. By changing the rules the artist reverses and subverts experiences with facial recognition technologies in everyday life.
 ",NA
1762,"(e)motion (aware of micro expressions)","The user of this interactive installation can manipulate sound and video by using their facial expressions. The visuals and sound highlight subtle changes in facial expressions that the user might not otherwise be aware of. ",NA
2565,"(In)Security Camera (insecure security camera)","When the user interacts with the (In)Security Camera it behaves in a unfamiliar way. Instead of following moving objects with the intent to capture anything suspicious, this camera shies away from sudden movements and avoids direct contact if the user tries to approach the camera.",NA
1995,"... som duften av en drøm... (Elders are wearing 3V-helmets when they are in care)","Elderly patients are wearing 3V-helmets as they lay in hospitals, being fed memories to keep them calm and content. Information is also going the other way, giving information about the patient to the hospital.  ","150 patients are laying on rows hidden behind their stiff curtains, connected in terms of protocol to 3V through secured helmets. 
(150 pasienter ligger på rekke og rad, halvt skjult bak stive forheng, protokollmessig tilkoblet 3V med sikrede hjelmer)
s. 127
;Through the 3V-helmets signals are going into their old, dry brains. They are fed with experiences they have chosen themselves. Series of pictures from sunny summer days, of children's laughter and play, or of sexual excesses, erotic conquests on dance floors and narrow alleys. Real or fictional memories. Many choose to experience themselves in a virtual equiment that doesn't at all resembles their own biological body. 
The signal also goes the other way though the helmets: Information about the patients's neuroactivity lead rapidly into the data system of the hospital.
(Gjennom 3V-hjelmene går signaler inn i de gamle, tørre hjernene deres. De fôres med opplevelser de selv har valgt seg ut. Bildeserier fra solrike sommerdager, av barnelatter og lek, eller av seksuelle utskeielser, kåte erobringer på dansegulv og i smale smug. Virkelige eller oppdiktede minner. Mange velger å oppleve seg selv i en virtuell utrustning som slett ikke likner deres egen biologiske kropp.
Signaler går også andre vei gjennom hjelmene: Informasjon om pasientenes nevroaktivitet føres løpende inn i sykehusets datasystem.)
s. 127"
1993,"... som duften av en drøm... (Eye scanning)","In the short story ""Maskeløs"" (maskless), a man walks through an empty town to visit a friend he hasn't met in person since they were children playing together in ""trad"" reality. The story relates his walk to his friend's house. When the heavily polluted rain gets heavier he scans his eyeball to enter the underground, and is relieved to escape the outdoors. 
There is another example of iris scanning to enter a Maxibrand building in the next short story in the collection, on page 66 in ""Et beger for din levende sevje"", but this situation with the man escaping the dangerous outdoors is more representative of the feel of this collection of stories. 
 ","He aims for the stairways heading down, let's the scanner register the eyeball. The doors open, he disappears underground. Safe!
Spring da, mann, spring! Regnet blir tettere, snart vil det hølje ned!
Han løper videre. Ser nedgangen til undergrunnen, kan rekke å komme seg i sikkerhet – men der er Bringsværdgata! Så nær, men samtidig så fjern. Han tar sikte på nedgangen, lar avleseren registrere øyeeplet. Dørene åpner seg, han forsvinner under bakken. Trygg!
I siste liten.
Alene
Hun bor like der borte.
s. 57"
1897,"... som duften av en drøm... (Nature captured by VV cameras)","The environmental conservator Palle Olsson and his students are outside in an inhospitable swampland, documenting the nature with V-cameras mounted on helmets that double as protection against the polluted air and the annoying bugs. The students are required to take Olsson's course as the last training requirement before starting to work as programmers and leaders for Virtuell Veritas, a company that creates ""virtu-environments"" for people to experience digitally. The requirement to capture natural environments that were about to be destroyed was instituted by a Central Parliament act in 2050: ""Every piece of nature that is cast aside by the democracy shall be virtually preserved for posterity"" (p. 27). Olsson sees this requirement as almost absurd, because now that twenty years have passed, VV has already collected more than enough data to generate infinitely gorgeous virtual environments, and no human could ever experience all the environments conserved in VV's databases. The swamp Olsson and his students are documenting in the short story is due for demolition the next day, as ""society requires holiday houses with parking and satellite stations"" (p. 30). However, Olsson meets a family without protective helmets and suits who apparently live in the unpleasant swamp. A fight ensues, the students rescue Olsson, and he is brought back to civilisation. To his relief he finds calming medication and VV equipment by his bedside. ","What is the point, in our time? Here in the bushes there is nothing that computers couldn't generate that wouldn't be at least as true to nature?
Twenty years ago, when the Central Parliament passed the law on virtual attachments, there might have been a kind of point to it. Back then, it could still be argued that the virtual future depended on greater access to data. But today, when new, interesting virtu-environments can be computer generated freely - with smell and all - without interference problems of any kind? Why bother with the letter of the law, which requires that ""every piece of nature that is rejected by democracy shall be preserved virtually for posterity""? No one, no matter how extreme a nature freak, would have time to experience all the landscapes that are already stored in the databases.
Hva er egentlig vitsen, i vår tid? Her i buskene fins da ingenting som ikke et genererende program kan framskaffe med minst like naturtro overbevisningskraft?
For tjue år siden, da Sentralparlamentet vedtok loven om virtuelt vedlegg, var det kanskje et slags poeng i det. Den gang kunne man fortsatt hevde at den virtuelle framtida avhang av større datatilgang. Men i dag, da nye, interessante virtu-miljøer kan datageneres fritt – med lukt og det hele – uten interferensproblemer av noe slag? Hvorfor bry seg om lovens bokstav, som krever at ""ethvert stykke natur som blir forkastet av demokratiet, skal bevares virtuelt for ettertida""? Ingen, uansett hvor ekstrem naturfrik, kan rekke å gjennomleve alle landskapene som allerede er lagret i databasene. (s. 16)
;With the idiotic protection helmets, as it not even really shuts out the smell, and the clumsy camera tripod is sticking up as a silly robotic head.
Med den tåpelige beskyttelseshjelmen, som ikke engang stenger lukta skikkelig ute, og det klossete kamerastativet stikkende opp som et fjollete robothode.
s. 16
;He is captured by the small V-cameras on the top of the students' protection helmets. 
Han fanges inn av de små V-kameraene på toppen av studentenes beskyttelseshjelmer.
s. 15"
1996,"... som duften av en drøm... (The reader is identified by a lifting drone in order to be carried by it)","In one of the short stories in the book, the book is refering to a 'you' - meaning the reader, putting the reader into the book's reality. This short story goes through different parts of everyday life, including where a drone identifies the person before it will allow the person to be carried by it. No operator.","Lets the lifting drone recognise your face, sits down across it. 
(Lar løftedronen kjenne igjen ansiktet ditt, setter deg overskrevs)
s. 111"
1994,"... som duften av en drøm... (The reader is wearing 3V-glasses)","In one of the short stories in the book, the book is refering to a 'you' - meaning the reader, putting the reader into the book's reality. This short story goes through different parts of everyday life, including where 3V-screens in the form of glasses gives you access to a virtual reality. ","You clip the 3V-glasses in place in front of your eyes. 
You are 
live. 
The 3V-pictures are real
projections of the city 
here and now
seen from within 
from the back 
from below, 
with a penetrating, 
knowing gaze. 
 
(Du klipser 3V-brillene på plass foran øynene dine. 
Du er 
laiv.
3V-bildene er virkelige 
projeksjoner av 
byen 
her og nå
sett innenfra 
bakfra
undenifra, 
med gjennomborende, 
øvet blikk.) 
s. 115"
322,"10.000 Moving Cities – Same but Different (Social Media Cities in Virtual Space)","The user wears a VR set and can choose a city. Thereafter social media feeds videos, text and images from the chosen city are projected on generic buildings in the Virtual Space. What the machine vision reveals is the digital version of the city.",NA
1653,"15 minutes of biometric fame (maching faces to celeberties)","The user is approach by a camera moving on a circular track and mounted on a crane. When the facial recognition technology in the camera detects a face it compares the users face and their characteristics with a pre-selected data base of “celebrity” faces.  When the user is matched to a celebrity the machine vision application classifies the users face according to one of 12 categories range from artist to rock or porn star through to soap actor and musician (matching the label of the celebrity). Then the image of the person is uploaded to the internet, accopanied with the assigned label and hence promoted to instant stardom.",NA
1785,"17 Cities (hacking into wireless security camera feeds)","Between 2003 and 2008 the artist hacked into wireless CCTV camera broadcasts with a video transmitter. Material from walks in 17 cities was recorded for the artwork. These recordings reveal a hidden layer of the city ranging from the banal to intimate. In a way the recordings reveal what societies consider important and valuable, worth watching over with surveillance systems.",NA
2370,"2.0 (Hologram reveals aura)","A hologram transmitted through the eye of Chitti shows his memory, which is that of his combat against the murderous cellphone-birds. Dr. Vaseegaran commands Chitti to active “Kirlian” mode, which visualizes the aura of the murderous cellphone-birds. The hologram with ""Kirlian"" mode activated reveals that the murderous cellphone-birds are in fact controlled by the spirit of Pakshi Rajan. Furtheremore, the murderous cellphone-birds have combined themselves into a unit represented as an eagle built solely by cellphones, as depicted in the screenshot below. ",NA
2367,"2.0 (Interactive hologram)","Dr. Vaseegaran is operating an interactive hologram which is most likely generated by satellite technology. The hologram can enhance details in the terrain, in addition to the capability of location tracing. Dr. Vaseegaran uses this hologram in search of the source of electromagnetic radiation that might lead them to understand the origins of the murderous cellphone-birds. ",NA
2368,"2.0 (Nila bypasses ethical guidelines to hack locked door)","Dr. Vaseegaran dictates Nila to open a door which is locked. Nila objects, stating that this action interfers with her ethical guidelines. Dr. Vaseegaran forces Nila to bypass her sense of ethics. Nila responds with the quote: ""If a handful of people benefit, nothing is wrong"". ",NA
2366,"2.0 (Nila scans for electromagnetic radiation)","Attempting to find the source of the murderous cellphone-birds, Dr. Vaseegaran and Nila travel to Tirukazhukundram in search of a strong source of electromagnetic radiation that might reveal the origin of the murderous cellphone-birds. In order to do so, Dr. Vaseegaran commands Nila to activate EMR-scanning in her augmented reality point-of-view. ",NA
2289,"2001: A Space Odyssey (film) (HAL learns of the pilots intentions)","Dr. Frank Poole and dr. David Bowman onboard the spaceship Discovery One suspect that the AI-computer HAL is malfunctioning. They decide to have a private conversation in an small pod, free from HAL's constant surveillance. Nevertheless, HAL lipreads the pilots through the pod's window and realizes that they intend to disconnect HAL. HAL decides to execute the pilots, in order to prevent disconnection, because it fears that potential disconnection might result in the failure of the spaceship's mission. Dr. Frank Poole is executed by having his oxygen hose severed; he drifts out into space as Bowman attempts to save his corpse. ",NA
2287,"2001: A Space Odyssey (film) (HAL turns off life support for crew in stasis units)","The AI-computer HAL turns off the life functions of three pilots in suspended animation. A computer screen reveals how their pulse flatlines.",NA
2275,"2001: A Space Odyssey (film) (Remote image and audio conversation between Earth and the moon)","A Skype-like conversation occurs between father on the moon and daughter on Earth through the use of audio and image, by the use of microphone and camera. Stanley Kubrick brilliantly predicts future communication, precisely our present. A feeling of vulnerability and lonliness is sensed as the father - present on the moon - replies to her young daughter's wish - present on Earth - that he will unfortunately not be present at her party.
The technology is allowing reciprocal communication, and as such both parties are equally active in their interaction with the technology. ",NA
2286,"2001: A Space Odyssey (novel) (Looking back home through a telescope)","Bowman occasionally looks homeward through the telescope that helps keep the communications antenna aligned with the Earth (in order to maintain communication). (p. 91)","""At least once in every watch period Bowman would look homeward through the antenna-alignment telescope. As Earth was now far back toward the sun, its darkened hemisphere faced Discovery, and on the central display screen the planet appeared as a dazzling silver crescent, like another Venus."" (p. 91)"
2281,"2001: A Space Odyssey (novel) (Observation cameras)","There are several brief scenes in which this technology is referenced. The camera is on the outside, and a screen connected to the camera is showing the outside to those inside.
The first scene is the one in which Dr. Heywood Floyd's transport is descending on the Moon. (quote 1, p. 53)
In the second one, the temporary facility built next to the monolith on the dark side of the Moon contains a TV screen showing the monolith, surveilling it at any given moment. Dr. Floyd is among the ones watching. (quote 2, p. 76)
The third one references cameras that show the outside of the spaceship Discovery to those inside. This is mentioned in the chapter that details Poole's and Bowman's routine aboard the Discovery (""Cruise Mode""). (quote 3, p. 99)","Quote 1:
""The wide arc of windows set in the curving wall of the passenger section now looked out onto the open sky, not the approaching globe, so he moved into the control cabin. Here, on the rear-view TV screen, he could watch the final stages of the descent."" - p. 53
Quote 2:
""It also contained most of their equipment and instruments, all the stores that could not be left in the vacuum outside, cooking, washing, and toilet facilities, geological samples, and a small TV screen through which the site could be kept under continuous surveillance."" - p. 76
Quote 3:
""Although it would require an excursion out into space to examine this region of the ship, there were instruments and remote TV cameras which gave a full report on conditions here."" - p. 99"
2282,"2001: A Space Odyssey (novel) (Probe recording non-visible spectrum data)","The probe Deep Space Monitor 79 records a disturbance in the Solar system that was triggered by the exposure of the monolith on the dark side of the Moon to sunlight. Several other probes record the same thing, and send data to Earth. The data tells the scientists that there is something on one of Saturn's moons, Iapetus, that is related to the monolith on the Earth's Moon, and Discovery's destination becomes thus decided. (p. 80)","""A hundred million miles beyond Mars, in the cold loneliness where no man had yet traveled, Deep Space Monitor 79 drifted slowly among the tangled orbits of the asteroids. For three years it had fulfilled its mission flawlessly - a tribute to the American scientists who had designed it, the British engineers who had built it, the Russian technicians who had launched it. A delicate spider-web of antennas sampled the passing waves of radio noise - the ceaseless crackle and hiss of what Pascal, in a simpler age, had naively called the ""silence of infinite space."" Radiation detectors noted and analyzed incoming cosmic rays from the galaxy and points beyond; neutron and X-ray telescopes kept watch on strange starts that no human eye would ever see; magnetometers observed thee gusts and hurricanes of the solar winds, as the Sun breathed million-mile-an-hour blasts of tenuous plasma into the faces of its circling children. All these things, and many others, were patiently noted by Deep Space Monitor 79, and recorded in into its crystalline memory."" - p. 80"
2284,"2001: A Space Odyssey (novel)(Biosensor displays)","The ship's AI (Hal) is monitoring the vital signs of the crew in hibernation (Hunter, Whitehead, Kaminski). Their vitals are also shown on a control deck display. Bowman occasionally watches and listens to the bio-signs. (p. 87)","""But that world was watching them, through their biosensor displays. Tucked inconspicuously away among the massed instrumentation of the control deck were five small panels marked Hunter, Whitehead, Kaminski, Poole, Bowman. The last two were blank and lifeless; their time would not come until a year from now. The others bore constellations of tiny green lights, announcing that everything was well; and on each was a small display screen across which sets of glowing lines traced the leisurely rhythms that indicated pulse, respiration and brain activity."" (p. 87)"
2283,"2001: A Space Odyssey (novel)(HAL 9000's many camera-eyes)","There are several scenes in which HAL's task to monitor and watch over, as well as his camera-eyes are mentioned. He uses camera to surveil the entire ship, and his ""eyes"" are everywhere.
Scene 1:
When their mission near Saturn is complete, the whole crew will go into hibernation and wait for the Discovery II to recover them, with HAL 9000 watching over them. They do not have the fuel or the supplies to get back on their own. This will never come to pass, as the mission goes another way entirely. (quote 1, p. 87)
Scene 2:
 Hal's primary task is to monitor the ship and the crew. Though the visual part of monitoring is not explicitly mentioned, it follows from the description. (quote 2, p. 93)
Scene 3:
Right after Poole is killed, Bowman is in a state of shock, but aware of Hal increasingly deceitful and hostile behaviour, as well as his lense eyes. (quote 3, p. 146)","Quote 1:
""At the end of the hundred days, Discovery would close down. All the crew would go into hibernation; only the essential systems would continue to operate, watched over by the ship's tireless electronic brain."" (p. 87)
Quote 2:
""His [HAL's] prime task was to monitor the life-support systems, continually checking oxygen pressure, temperature, hull leakage, radiation, and all the other interlocking factors upon which the lives of the fragile human cargo depended. He could carry out the intricate navigational correction, and execute the necessary flight manoeuvres when it was time to change course. And he would watch over the hibernators, making any necessary adjustments to their environment and doling out the minute quantities of intravenous fluids to keep them alive."" (p. 93)
Quote 3:
""Directly opposite him was one of the fisheye lenses, scattered at strategic spots throughout the ship, which provided Hal with his onboard visual inputs. Bowman stared at it as if he had never seen it before; then he rose slowly to his feet and walked toward the lens. His movement in the field of view must have triggered something int he unfathomable mind that was now ruling over the ship; for suddenly, Hal spoke."" (p. 146)"
2288,"2001: A Space Odyssey (novel)(Video communication with Mission Control)","Hal keeps saying that the AE-35 unit, one of the parts aligning the antenna with the Earth and enabling communication, is about to fail. The mission control sends a delayed (due to the time it takes for the radio waves to travel the distance; the ship is somewhere between Jupiter and Saturn at this point) video communique to Discovery saying that HAL needs to be disconnected and control switched to Earth's computers in order to resolve a programming conflict in HAL's prediction unit that is causing him to erroneously predict the failure of the AE-35 unit. Hal reacts by breaking the connection and activating an alert about the failure of the AE-35 unit, which causes Bowman and Poole to start seriously suspecting Hal of wrongdoing. (p. 135)","""It was unusual for Mission Control to waste radio bandwidth on vision, when a speech circuit with teletype confirmation was all that was really necessary. And the face that appeared on the screen was not of the usual controller; it was the Chief Programmer, Dr. Simonson. Poole and Bowman knew at once that this could only mean trouble."" (p. 135)"
1939,"2033: La Ilusión de un Futuro Mejor (Biometric to identify and anonymise)","The rebels' names and ID numbers are identified in Villaparaiso with surveillance cameras. The systems displays 'private identity' when the camera captures the top-level government officials. (1:11:29)",NA
1938,"2033: La Ilusión de un Futuro Mejor (Hunting)","Pablo is together with other rich kids of Villaparaiso go hunting peasants with weapons (with telescopes) that track motion and follow, detect and recognize the target. (Film on vimeo 25:10 https://vimeo.com/86209499)",NA
