Title,ID,Genre,"Genre ID"
Sight,3264,"Narrative, Online video","20001, 2000132"
Sight,3264,"Narrative, Online video","20001, 2000132"
"Emily Eternal",3252,"Narrative, Novel","20001, 2000133"
"Emily Eternal",3252,"Narrative, Novel","20001, 2000133"
"Squid Game",3220,"Narrative, TV series or episode","20001, 2000131"
"Squid Game",3220,"Narrative, TV series or episode","20001, 2000131"
"Klara and the Sun",3216,"Narrative, Novel","20001, 2000133"
"Klara and the Sun",3216,"Narrative, Novel","20001, 2000133"
"The Argus Project",3171,"Art, Video art, Installation art, Narrative","20002, 2000139, 2000138, 20001"
"Black Widow",3137,"Narrative, Movie","20001, 2000130"
"Black Widow",3137,"Narrative, Movie","20001, 2000130"
"Remote Control",3129,"Narrative, Novel","20001, 2000133"
"Remote Control",3129,"Narrative, Novel","20001, 2000133"
"Attack Surface",3125,"Narrative, Novel","20001, 2000133"
"Attack Surface",3125,"Narrative, Novel","20001, 2000133"
Machinehood,3119,"Narrative, Novel","20001, 2000133"
Machinehood,3119,"Narrative, Novel","20001, 2000133"
"Have a Nice Day",3087,"Narrative, Movie","20001, 2000130"
"Have a Nice Day",3087,"Narrative, Movie","20001, 2000130"
Revolt,3082,"Narrative, Music video","20001, 2000316"
Revolt,3082,"Narrative, Music video","20001, 2000316"
"The Mitchells vs. The Machines",3033,"Narrative, Movie","20001, 2000130"
"The Mitchells vs. The Machines",3033,"Narrative, Movie","20001, 2000130"
"Moth & Whisper",2978,"Narrative, Comic","20001, 2000330"
"Moth & Whisper",2978,"Narrative, Comic","20001, 2000330"
"The Salvage Crew",2975,"Narrative, Novel","20001, 2000133"
"The Salvage Crew",2975,"Narrative, Novel","20001, 2000133"
"Solar Opposites",2972,"Narrative, TV series or episode","20001, 2000131"
"Solar Opposites",2972,"Narrative, TV series or episode","20001, 2000131"
"The High-Rise Diver",2948,"Narrative, Novel","20001, 2000133"
"The High-Rise Diver",2948,"Narrative, Novel","20001, 2000133"
Invincible,2812,"Narrative, TV series or episode","20001, 2000131"
Invincible,2812,"Narrative, TV series or episode","20001, 2000131"
"Arc of a Scythe (series)",2810,"Narrative, Novel","20001, 2000133"
"Arc of a Scythe (series)",2810,"Narrative, Novel","20001, 2000133"
"The Peripheral",2803,"Narrative, Novel","20001, 2000133"
"The Peripheral",2803,"Narrative, Novel","20001, 2000133"
Agency,2798,"Narrative, Novel","20001, 2000133"
Agency,2798,"Narrative, Novel","20001, 2000133"
Wool,2790,"Narrative, Novel","20001, 2000133"
Wool,2790,"Narrative, Novel","20001, 2000133"
Compis,2778,"Narrative, Novel","20001, 2000133"
Compis,2778,"Narrative, Novel","20001, 2000133"
"Outside the Wire",2722,"Narrative, Movie","20001, 2000130"
"Outside the Wire",2722,"Narrative, Movie","20001, 2000130"
"Madoc: A Mystery",2719,Narrative,20001
Freaks,2714,"Narrative, Movie","20001, 2000130"
Freaks,2714,"Narrative, Movie","20001, 2000130"
"The Old Lie",2707,"Narrative, Novel","20001, 2000133"
"The Old Lie",2707,"Narrative, Novel","20001, 2000133"
Temple,2701,"Narrative, Movie","20001, 2000130"
Temple,2701,"Narrative, Movie","20001, 2000130"
Ana,2696,"Narrative, Movie","20001, 2000130"
Ana,2696,"Narrative, Movie","20001, 2000130"
"The Nostalgist",2693,"Narrative, Movie","20001, 2000130"
"The Nostalgist",2693,"Narrative, Movie","20001, 2000130"
BlinkyTM,2689,"Narrative, Movie","20001, 2000130"
BlinkyTM,2689,"Narrative, Movie","20001, 2000130"
ZARI,2684,"Narrative, Movie","20001, 2000130"
ZARI,2684,"Narrative, Movie","20001, 2000130"
"Hyper Reality",2677,"Narrative, Movie","20001, 2000130"
"Hyper Reality",2677,"Narrative, Movie","20001, 2000130"
"A Date in 2025",2672,"Narrative, Movie","20001, 2000130"
"A Date in 2025",2672,"Narrative, Movie","20001, 2000130"
"And Shall Machines Surrender",2665,"Narrative, Novel","20001, 2000133"
"And Shall Machines Surrender",2665,"Narrative, Novel","20001, 2000133"
"This Time Away",2663,"Narrative, Movie","20001, 2000130"
"This Time Away",2663,"Narrative, Movie","20001, 2000130"
"Change Return",2655,"Narrative, Movie","20001, 2000130"
"Change Return",2655,"Narrative, Movie","20001, 2000130"
Utbryterne,2642,"Narrative, Novel","20001, 2000133"
Utbryterne,2642,"Narrative, Novel","20001, 2000133"
Stellar,2635,"Narrative, Music video","20001, 2000316"
Stellar,2635,"Narrative, Music video","20001, 2000316"
Dystopia,2628,"Narrative, Music video","20001, 2000316"
Dystopia,2628,"Narrative, Music video","20001, 2000316"
"She-Ra and the Princess of Power",2607,"Narrative, TV series or episode","20001, 2000131"
"She-Ra and the Princess of Power",2607,"Narrative, TV series or episode","20001, 2000131"
"A Scanner Darkly",2599,"Narrative, Movie","20001, 2000130"
"A Scanner Darkly",2599,"Narrative, Movie","20001, 2000130"
Superintelligence,2587,"Narrative, Movie","20001, 2000130"
Superintelligence,2587,"Narrative, Movie","20001, 2000130"
"The Midnight Sky",2576,"Narrative, Movie","20001, 2000130"
"The Midnight Sky",2576,"Narrative, Movie","20001, 2000130"
"Flåklypa Grand Prix",2546,"Narrative, Movie","20001, 2000130"
"Flåklypa Grand Prix",2546,"Narrative, Movie","20001, 2000130"
"The Invisible Man",2544,"Narrative, Movie","20001, 2000130"
"The Invisible Man",2544,"Narrative, Movie","20001, 2000130"
"Isle of Dogs",2532,"Narrative, Movie","20001, 2000130"
"Isle of Dogs",2532,"Narrative, Movie","20001, 2000130"
STET,2525,"Narrative, Short story","20001, 2000134"
STET,2525,"Narrative, Short story","20001, 2000134"
"The Social Dilemma",2519,"Narrative, Movie","20001, 2000130"
"The Social Dilemma",2519,"Narrative, Movie","20001, 2000130"
"Bouvetøya 2052",2477,"Narrative, Novel","20001, 2000133"
"Bouvetøya 2052",2477,"Narrative, Novel","20001, 2000133"
"The Mandalorian",2476,"Narrative, TV series or episode","20001, 2000131"
"The Mandalorian",2476,"Narrative, TV series or episode","20001, 2000131"
"The Last Human",2463,"Narrative, Novel","20001, 2000133"
"The Last Human",2463,"Narrative, Novel","20001, 2000133"
"Too Much",2449,"Music video",2000316
"My Holo Love",2433,"Narrative, TV series or episode","20001, 2000131"
"My Holo Love",2433,"Narrative, TV series or episode","20001, 2000131"
"His Dark Materials",2427,"Narrative, TV series or episode","20001, 2000131"
"His Dark Materials",2427,"Narrative, TV series or episode","20001, 2000131"
