Title,ID,Year,Country,Genre,"Genre ID","Technologies referenced","Technologies referenced id","Technologies used","Technologies used id",Topic,"Topic id",Sentiment,"Sentiment id","Situation machine vision is used in","Situation machine vision is used in ID",Characters,"Characters ID"
"SEER: Simulative Emotional Expression Robot",1626,2018,Japan,Art,20002,"AI (General Purpose Artificial Intelligence)",2000152,"Emotion recognition, Facial recognition","200091, 20007","Playful, Robots/androids","2000170, 200051","Exciting, Wondrous","200097, 2000325","SEER: Simulative Emotional Expression Robot (mimicing facial expressions)",1628,"SEER Robot",1627
"Captain America: The Winter soldier",1946,2016,"United States","Narrative, Movie","20001, 2000130","Body scans, Holograms, Surveillance cameras","200090, 20001339, 200080",,,"AI, Grief, Hacking, Surveillance, War","2000168, 2000161, 2000160, 200052, 200054","Empowering, Fun, Helpful, Hostile","2000318, 2000212, 200098, 200099","Captain America: The Winter soldier (Hologram meeting), Captain America: The Winter soldier (Fury gets ambushed)","2151, 2152","Nick Fury, Alexander Pierce","2149, 2150"
"The Human Detector",3147,2018,"Cameroon, France","Art, Installation art","20002, 2000138","Facial recognition, Machine learning","20007, 200012","Facial recognition, Machine learning","20007, 200012","AI, Competition, Hacking, Race","2000168, 2000245, 2000160, 2000166",Subversive,2000210,"The Human Detector (avoiding detection)",3148,,
"What the Robot Saw",1545,2020,"United States","Art, Online art","20002, 2000159","Machine learning",200012,"Emotion recognition, Facial recognition, Image generation","200091, 20007, 200073","AI, Social Media, Surveillance","2000168, 2000177, 200052","Intimate, Intrusive","2000100, 2000209","What the Robot Saw (computer vision analyzing youtube videos)",1595,,
(e)motion,1559,2018,"Denmark, Netherlands, Germany","Art, Installation art","20002, 2000138",,,"Emotion recognition",200091,"Consciousness, Identity, Playful","2000171, 2000169, 2000170","Exciting, Intimate, Wondrous","200097, 2000100, 2000325","(e)motion (aware of micro expressions)",1762,,
"(In)Security Camera",2120,2003,"Peru, United States, Russia","Art, Installation art","20002, 2000138",,,"Facial recognition, Motion tracking, Object recognition, Surveillance cameras","20007, 2000180, 200015, 200080",Surveillance,200052,"Alien, Flawed, Subversive","200096, 2000208, 2000210","(In)Security Camera (insecure security camera)",2565,,
"... som duften av en drøm...",1982,2020,Norway,"Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Drones (UAV), Facial recognition, Holograms, Image generation, Non-Visible Spectrum, Surveillance cameras, Virtual reality","2000152, 200079, 20007, 20001339, 200073, 2000207, 200080, 2000147",,,"AI, Consciousness, Free will, Identity, Nature","2000168, 2000171, 2000163, 2000169, 2000175","Helpful, Intrusive, Oppressive, Overwhelming, Protective","200098, 2000209, 2000107, 2000188, 2000317","... som duften av en drøm... (Nature captured by VV cameras), ... som duften av en drøm... (Eye scanning), ... som duften av en drøm... (The reader is identified by a lifting drone in order to be carried by it), ... som duften av en drøm... (Elders are wearing 3V-helmets when they are in care), ... som duften av en drøm... (The reader is wearing 3V-glasses)","1897, 1993, 1996, 1995, 1994","Students (... som duften av en drøm...) , Man (...som duften av en drøm...), Palle Olsson , Reader (... som duften av en drøm), Elders (... som duften av en drøm)","1896, 2930, 1894, 2460, 2461"
"10.000 Moving Cities – Same but Different, VR",210,2016,Switzerland,"Art, Installation art","20002, 2000138","Cameraphone, Webcams","2000154, 2000153","Virtual reality",2000147,"City, Social Media","2000311, 2000177",Overwhelming,2000188,"10.000 Moving Cities – Same but Different (Social Media Cities in Virtual Space)",322,,
"15 minutes of biometric fame",1572,2011,Netherlands,"Art, Installation art","20002, 2000138",,,"Facial recognition",20007,"AI, Identity, Playful, Social Media","2000168, 2000169, 2000170, 2000177","Flawed, Intrusive, Subversive","2000208, 2000209, 2000210","15 minutes of biometric fame (maching faces to celeberties)",1653,,
"17 Cities",1784,2008,"Canada, Netherlands, Germany","Art, Video art","20002, 2000139",,,"Surveillance cameras",200080,"Hacking, Surveillance","2000160, 200052","Creepy, Intimate, Intrusive","2000327, 2000100, 2000209","17 Cities (hacking into wireless security camera feeds)",1785,,
"2.0 (2018)",2362,2018,India,"Narrative, Movie","20001, 2000130","AI (General Purpose Artificial Intelligence), Augmented reality, Biometrics, Camera, Cameraphone, Emotion recognition, Holograms, Non-Visible Spectrum, Satellite images","2000152, 200074, 20009, 2000206, 2000154, 200091, 20001339, 2000207, 200078",,,"AI, Animals, City, Nature, Robots/androids","2000168, 2000200, 2000311, 2000175, 200051","Dangerous, Exciting, Protective, Wondrous","2000129, 200097, 2000317, 2000325","2.0 (Nila scans for electromagnetic radiation), 2.0 (Interactive hologram), 2.0 (Nila bypasses ethical guidelines to hack locked door), 2.0 (Hologram reveals aura)","2366, 2367, 2368, 2370","Dr. Vaseegaran, Chitti the robot, Nila the robot, Pakshi Rajan/Birds","2363, 2365, 2364, 2369"
"2001: A Space Odyssey (novel and film)",2277,1968,"United Kingdom, United States","Narrative, Movie, Novel","20001, 2000130, 2000133","AI (General Purpose Artificial Intelligence), Body scans, Camera, Microscope/Telescope, Non-Visible Spectrum, Surveillance cameras","2000152, 200090, 2000206, 2000195, 2000207, 200080",,,"AI, Animals, Consciousness","2000168, 2000200, 2000171","Creepy, Flawed, Hostile, Neutral, Subversive","2000327, 2000208, 200099, 2000101, 2000210","2001: A Space Odyssey (novel) (Observation cameras), 2001: A Space Odyssey (novel) (Probe recording non-visible spectrum data), 2001: A Space Odyssey (novel)(HAL 9000's many camera-eyes), 2001: A Space Odyssey (novel)(Biosensor displays), 2001: A Space Odyssey (novel) (Looking back home through a telescope), 2001: A Space Odyssey (novel)(Video communication with Mission Control), 2001: A Space Odyssey (film) (HAL learns of the pilots intentions) , 2001: A Space Odyssey (film) (Remote image and audio conversation between Earth and the moon), 2001: A Space Odyssey (film) (HAL turns off life support for crew in stasis units)","2281, 2282, 2283, 2284, 2286, 2288, 2289, 2275, 2287","HAL, Dr. David Bowman, Dr. Frank Poole, Dr. Heywood Floyd, Sleeping crew members (2001: A Space Odyssey), Dr. Floyd's daughter","2280, 2278, 2279, 2273, 2285, 2274"
"2033: La Ilusión de un Futuro Mejor",1931,2009,Mexico,"Narrative, Movie","20001, 2000130","Biometrics, Microscope/Telescope, Non-Visible Spectrum, Object recognition, Surveillance cameras","20009, 2000195, 2000207, 200015, 200080",,,"Conflict, Dystopian, Hacking, Inequality, Surveillance","200055, 200070, 2000160, 200089, 200052","Dangerous, Intrusive, Oppressive","2000129, 2000209, 2000107","2033: La Ilusión de un Futuro Mejor (Provide doses of Pectanol), 2033: La Ilusión de un Futuro Mejor (Monitor consumption of Pectanol), 2033: La Ilusión de un Futuro Mejor (Hunting), 2033: La Ilusión de un Futuro Mejor (Biometric to identify and anonymise), 2033: La Ilusión de un Futuro Mejor (Tricking retina scanner)","1933, 1936, 1938, 1939, 2922","Pablo, Lucía, PEC goverment offical, Hunted Father (2033: La Ilusión de un Futuro Mejor), Hunted Child (2033: La Ilusión de un Futuro Mejor)","2911, 2920, 2921, 2913, 2914"
3%,2208,2016,Brazil,"Narrative, TV series or episode","20001, 2000131","Emotion recognition, Facial recognition, Motion tracking, Object recognition, Satellite images, Surveillance cameras","200091, 20007, 2000180, 200015, 200078, 200080",,,"Competition, Dystopian","2000245, 200070",Neutral,2000101,"3% (Emotion Recognition in Interviews), 3% (Surveillance Cameras in Streets), 3% (Facial Recognition in Surveillance Footage)","2204, 2205, 2207","Ezequiel, Aline, Interviewed Young Adults (3%)","2201, 2202, 2964"
3x3x6,2820,2019,Taiwan,"Art, Video art, Installation art","20002, 2000139, 2000138","AI (General Purpose Artificial Intelligence), Biometrics, Body scans, Facial recognition, Motion tracking, Surveillance cameras","2000152, 20009, 200090, 20007, 2000180, 200080","Camera, Facial recognition, Machine learning, Motion tracking, Surveillance cameras","2000206, 20007, 200012, 2000180, 200080","AI, Crime, Gender, Nudity, Race, Sex, Surveillance","2000168, 200057, 2000165, 200086, 2000166, 200053, 200052","Dangerous, Intrusive, Oppressive","2000129, 2000209, 2000107","3x3x6 (Audiences participating and being surveilled)",2821,,
